id,time,x,y,z,theta,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026556.6829617,-49.23133415418213,134.8948444715966,-12.450324296420662,-1.0229264079666043,0.3461526930332184,-0.4790583848953247,-0.05072198435664177,0.05036042630672455,0.06231362000107765,0.004416522104293108
2022-12-14-08-02-07,1671026556.7269864,-49.217798579729056,134.87570004362945,-12.452876386230027,-1.024700116238581,0.36319395899772644,-0.5051483511924744,-0.07459348440170288,0.030089866369962692,0.0310656800866127,-0.09980900585651398
2022-12-14-08-02-07,1671026556.770965,-49.201106367609,134.8527157665185,-12.456657168311102,-1.0294203186624236,0.4145147502422333,-0.5735498666763306,-0.09489793330430984,0.0675072893500328,0.0009885281324386597,-0.10013424605131149
2022-12-14-08-02-07,1671026556.8149843,-49.18438694558635,134.82852599561366,-12.45989772998283,-1.033611890218087,0.456773579120636,-0.6497333645820618,-0.04981071129441261,0.22597736120224,0.06356023252010345,-0.1216028481721878
2022-12-14-08-02-07,1671026556.8589492,-49.164648522007525,134.79941475371365,-12.462264770798244,-1.0420742691536502,0.4695313572883606,-0.6991004943847656,-0.08406180888414383,0.14748862385749817,-0.09896465390920639,-0.2505028545856476
2022-12-14-08-02-07,1671026556.9069858,-49.14752390193309,134.77504077870196,-12.464611114771191,-1.0528327465369571,0.41313329339027405,-0.6089677214622498,-0.03829571604728699,0.17121621966362,-0.02411802113056183,-0.26246681809425354
2022-12-14-08-02-07,1671026556.9069963,-49.13136886469199,134.75070487040108,-12.466481387715925,-1.06376342544607,0.37752318382263184,-0.5577254295349121,-0.042254894971847534,-0.028334736824035645,-0.029290108010172844,-0.2853836119174957
2022-12-14-08-02-07,1671026556.9509664,-49.11885246762858,134.7315762683699,-12.467126955179353,-1.072421469330062,0.3563920557498932,-0.5103704333305359,-0.0033428464084863663,0.031235240399837494,-0.14721347391605377,-0.21178951859474182
2022-12-14-08-02-07,1671026556.9854748,-49.106568171636965,134.71181941182041,-12.467782069314275,-1.0797185317678917,0.3314923346042633,-0.5087552666664124,-0.034549787640571594,-0.07264386862516403,-0.11084277182817459,-0.1552555412054062
2022-12-14-08-02-07,1671026557.026946,-49.09424567191699,134.68986520469412,-12.470174407690465,-1.0838150042598484,0.30977728962898254,-0.5197632908821106,-0.06378376483917236,0.17316681146621704,-0.019946694374084473,-0.05491176247596741
2022-12-14-08-02-07,1671026557.0709395,-49.08166485168587,134.6665808473012,-12.473378087963717,-1.0838726005371715,0.31030526757240295,-0.5886053442955017,-0.08921266347169876,0.0015086531639099121,0.0782427191734314,0.02731841430068016
2022-12-14-08-02-07,1671026557.1149807,-49.0693641918393,134.64132478136702,-12.477566209836871,-1.082419601079438,0.3272612690925598,-0.6769616007804871,-0.1091347485780716,0.08410424739122391,0.14033295214176178,0.036784712225198746
2022-12-14-08-02-07,1671026557.162937,-49.055946431037995,134.61309627532478,-12.481210948099303,-1.0828534033608916,0.33460745215415955,-0.7447769641876221,-0.04937237501144409,0.21911707520484924,0.5071929097175598,-0.043688785284757614
2022-12-14-08-02-07,1671026557.2069564,-49.040184112369175,134.58154506102395,-12.48301038553103,-1.0847128853999741,0.40916377305984497,-0.8226010799407959,-0.0633532702922821,-0.10720039159059525,0.07377253472805023,-0.05761084333062172
2022-12-14-08-02-07,1671026557.2509496,-49.02460285972644,134.55163437901837,-12.48400693923827,-1.0833519491808756,0.3741137385368347,-0.7126891613006592,-0.05224001780152321,0.23584452271461487,0.16420438885688782,0.04934540018439293
2022-12-14-08-02-07,1671026557.2949786,-49.009825574268135,134.52168216916922,-12.486508620065175,-1.0839317667849342,0.3558134436607361,-0.6370880603790283,-0.06643638014793396,0.017012998461723328,-0.15829849243164062,-0.04205872118473053
2022-12-14-08-02-07,1671026557.338984,-48.9966004986676,134.49859956451786,-12.488611229140876,-1.0856302482048907,0.32042548060417175,-0.5701547265052795,-0.038742247968912125,0.09649721533060074,-0.06717499345541,-0.08771383762359619
2022-12-14-08-02-07,1671026557.3869607,-48.985352456794224,134.47884498950378,-12.490221921244743,-1.0904361015215633,0.3185236155986786,-0.5401554107666016,-0.057877108454704285,-0.09615851938724518,-0.12703189253807068,-0.18954826891422272
