id,time,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026533.8663192,0.7828284502029419,0.0,0.0,0.0,0.0,-0.33826106786727905
2022-12-14-08-02-07,1671026533.8830194,0.7828284502029419,0.0,0.0,0.0,0.0,-0.33640480041503906
2022-12-14-08-02-07,1671026533.8996637,0.7828284502029419,0.0,0.0,0.0,0.0,-0.3253534138202667
2022-12-14-08-02-07,1671026533.9163265,0.7768883109092712,0.0,0.0,0.0,0.0,-0.3124889135360718
2022-12-14-08-02-07,1671026533.932996,0.7768883109092712,0.0,0.0,0.0,0.0,-0.3124889135360718
2022-12-14-08-02-07,1671026533.949647,0.7768883109092712,0.0,0.0,0.0,0.0,-0.3124889135360718
2022-12-14-08-02-07,1671026533.9663346,0.7768883109092712,0.0,0.0,0.0,0.0,-0.30143752694129944
2022-12-14-08-02-07,1671026533.9829712,0.7768883109092712,0.0,0.0,0.0,0.0,-0.26275771856307983
2022-12-14-08-02-07,1671026533.9996412,0.7768883109092712,0.0,0.0,0.0,0.0,-0.1743466854095459
2022-12-14-08-02-07,1671026534.0163202,0.7768883109092712,0.0,0.0,0.0,0.0,-0.08593568950891495
2022-12-14-08-02-07,1671026534.032974,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.049639,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.0663252,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.0831125,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.0997252,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.1163585,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.1330206,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.149669,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.1663609,0.7768883109092712,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.1830158,0.7592061161994934,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.1996973,0.7592061161994934,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.2163444,0.7592061161994934,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.233024,0.7592061161994934,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.2496574,0.7592061161994934,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.2663224,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.283333,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.2996488,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.3163202,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.3329713,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.3496718,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.3663275,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.3830476,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.399703,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.4163961,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.43301,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.4497,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.4663663,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.482989,0.7621761560440063,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.4996722,0.7828284502029419,0.0,0.0,0.0,0.0,0.0
